classes,VIS,NIR
Grama,0.06712132662,0.362854693
Grama,0.0676462346,0.3703699015
Grama,0.06829263774,0.3703699015
Grama,0.06853029724,0.3719398692
Grama,0.06823196633,0.3706118645
Grama,0.06801352297,0.3689538821
Grama,0.06788966089,0.3666568025
Grama,0.06782207348,0.3667131126
Grama,0.068411191,0.3713941832
Grama,0.06870987764,0.3721166063
Solo exposto,0.05285734972,0.1511533877
Solo exposto,0.05720971045,0.1654083206
Solo exposto,0.05858040059,0.1686555491
Solo exposto,0.05670028426,0.1631480402
Solo exposto,0.05282191372,0.1509599852
Solo exposto,0.04935864921,0.1403018809
Solo exposto,0.04849750854,0.1371151919
Solo exposto,0.04749549432,0.1340040466
Solo exposto,0.04570687714,0.1291728301
Solo exposto,0.04789453701,0.1358143478
Brita,0.07973155749,0.1157310512
Brita,0.09545848869,0.1403654707
Brita,0.0990071638,0.1472654523
Brita,0.09976886342,0.1484516755
Brita,0.1016740256,0.1518231182
Brita,0.1014133027,0.150817392
Brita,0.1012545564,0.1510775332
Brita,0.1014761624,0.1521243587
Brita,0.1011877889,0.1518568475
Brita,0.09873989856,0.1473024562
Grama,0.06477423204,0.3741345047
Grama,0.0662760547,0.3855167502
Grama,0.06172569118,0.3572111613
Grama,0.0552286021,0.3164815049
Grama,0.04689248641,0.2698055367
Grama,0.03943684016,0.2220960341
Grama,0.0345177687,0.1897554018
Grama,0.03157900443,0.1714412893
Grama,0.03012919948,0.1611837076
Grama,0.03032025844,0.1617010945
Vegetacao,0.01553959355,0.2395675778
Vegetacao,0.01525164154,0.23846939
Vegetacao,0.01521974618,0.2388027383
Vegetacao,0.01532217501,0.2404000098
Vegetacao,0.01538171896,0.2406874945
Vegetacao,0.01512803769,0.2390051477
Vegetacao,0.01524580107,0.2401354939
Vegetacao,0.0152504736,0.2408952069
Vegetacao,0.01522620055,0.239138643
Vegetacao,0.01541111346,0.2394637851
Solo exposto,0.06467479228,0.1671936565
Solo exposto,0.06369175922,0.1646801665
Solo exposto,0.06062307985,0.1562171942
Solo exposto,0.06219332836,0.1602429044
Solo exposto,0.06419119628,0.1657017452
Solo exposto,0.06362434716,0.1644656901
Solo exposto,0.06250142133,0.1608252663
Solo exposto,0.0595271938,0.152898036
Solo exposto,0.05177225266,0.131309139
Solo exposto,0.05368922307,0.1362586038
Solo exposto,0.04482893043,0.1125457325
Solo exposto,0.05037185409,0.127371286
Solo exposto,0.05383698907,0.1370816493
Solo exposto,0.05179548815,0.1311600048
Solo exposto,0.0490143376,0.1240042104
Solo exposto,0.04687115227,0.1178786566
Solo exposto,0.04575238778,0.1150525107
Solo exposto,0.04830923861,0.1223417853
Solo exposto,0.05169867895,0.1324798849
Solo exposto,0.05511826366,0.1424771755
Solo exposto,0.0663630659,0.1700664214
Solo exposto,0.06589248891,0.168894182
Solo exposto,0.06558268959,0.1684900844
Solo exposto,0.0653007587,0.1687464359
Solo exposto,0.06519678127,0.1686059562
Solo exposto,0.0647932214,0.1679075408
Solo exposto,0.06484583258,0.1678445578
Solo exposto,0.06456958492,0.1672661636
Solo exposto,0.06420319245,0.1664641391
Solo exposto,0.06449004134,0.1673833911
Grama,0.02674635982,0.1167530084
Grama,0.03601051473,0.1591704859
Grama,0.04770679408,0.2146926745
Grama,0.05123492885,0.2315132125
Grama,0.05193321944,0.231540577
Grama,0.05246288168,0.2295876892
Grama,0.05250771447,0.2297917619
Grama,0.05250699175,0.2300134243
Grama,0.05244463765,0.2303347601
Grama,0.05209306776,0.229172794
Solo umido,0.05789255026,0.2171540637
Solo umido,0.05784746631,0.2181736844
Solo umido,0.05774707951,0.2194038061
Solo umido,0.05762587743,0.2203427736
Solo umido,0.05773294622,0.2196203601
Solo umido,0.05773275063,0.2205604254
Solo umido,0.05794615389,0.2220771114
Solo umido,0.05801584518,0.2233298527
Solo umido,0.05784736652,0.2238190064
Solo umido,0.0579175372,0.224373731
Solo umido,0.06583557697,0.219635766
Solo umido,0.06582071142,0.2194807407
Solo umido,0.06577398895,0.2212077144
Solo umido,0.06586752615,0.2220851477
Solo umido,0.06589557621,0.2229302331
Solo umido,0.06634311866,0.2244287625
Solo umido,0.06655174152,0.2259874944
Solo umido,0.06651576723,0.2259143877
Solo umido,0.06674994873,0.2270223043
Solo umido,0.06679710659,0.2273470023
Asfalto,0.1668248039,0.238944558
Asfalto,0.1676285052,0.2399973847
Asfalto,0.1669914297,0.2379709654
Asfalto,0.1383330793,0.1989329595
Asfalto,0.09046293976,0.1330397253
Asfalto,0.1594437114,0.2303294629
Asfalto,0.1674378689,0.2384220012
Asfalto,0.168822364,0.2410522818
Asfalto,0.1669841228,0.2378484934
Asfalto,0.1657927649,0.2353277595
Asfalto,0.1592444568,0.2129908209
Asfalto,0.1613268269,0.2175365294
Asfalto,0.1568873949,0.2108982036
Asfalto,0.1425771587,0.1904710215
Asfalto,0.1277183946,0.1684409141
Asfalto,0.1222194378,0.160003679
Asfalto,0.1167507727,0.1518153024
Asfalto,0.1133307058,0.1457712772
Asfalto,0.1118196427,0.1456613088
Asfalto,0.1199929781,0.1574909327
Asfalto,0.166517097,0.2292550921
Asfalto,0.1664796343,0.2293133063
Asfalto,0.1663432624,0.2288700365
Asfalto,0.166309771,0.2285700097
Asfalto,0.1663790028,0.2289142408
Asfalto,0.1663038051,0.2288758792
Asfalto,0.1662292856,0.2291413006
Asfalto,0.166167834,0.2289143037
Asfalto,0.1660204069,0.2283758158
Asfalto,0.166008455,0.2282663975
Solo umido,0.05730038641,0.2275351438
Solo umido,0.0574432026,0.2282335521
Solo umido,0.05718147637,0.2269814307
Solo umido,0.05719928945,0.2284053161
Solo umido,0.05684936522,0.2291929893
Solo umido,0.05686649707,0.2278646372
Solo umido,0.05688351006,0.2279574098
Solo umido,0.05674112475,0.2276995975
Solo umido,0.0567299426,0.2280548164
Solo umido,0.05680989504,0.2277835758
Brita,0.1385938963,0.1614299542
Brita,0.1381218377,0.1616567047
Brita,0.1381925078,0.1622144493
Brita,0.1384481129,0.1624256418
Brita,0.1387661591,0.1627932292
Brita,0.1388962468,0.1625916823
Brita,0.1392656583,0.162862953
Brita,0.1400664634,0.164171792
Brita,0.1406867863,0.1642714466
Brita,0.1416323224,0.1645100439